Target,Ligand,E_crest_xtb_Eh,E_020_xtb_Eh,Delta_xtb_kcal,E_crest_pm6_kcal,E_020_pm6_kcal,Delta_pm6_kcal,S_conf_crest,Minus_TS_kcal,GFN2_S_conf,Minus_TS_gfn2_kcal,Delta_gfn2_xtb_kcal,GFN2_crest_xtb_energy,Charge,No_solvent_gfn2_ts,High_temp_ts,001_protonated_sconf,001_protonated_ts,001_protonated_no_solvent,Delta_gfn2_xtb_protonated,Delta_pm6_on_gfn2,Partially_opt_energy,TS_nrb
001-CA2,5NXG,-7.792157981974,-7.792196116448,0.023929725645214464,-184.36372709521288,-184.57791228844832,0.21418519323543705,3.933848,1.1728767811999998,3.4059756,2.53872906285,-1.1688108480887018,-43649.51419825883,-1,1.9340471718999996,2.6037200979999997,7.947486,1.782495738,5.97852,-0.5434339661704289,1.104283288448329,1.7331349543998726,5
001-CA2,5NXO,-7.446422806876,-7.446330877223,-0.05768668462450254,-140.99147962365566,-140.89731445977063,-0.09416516388503737,8.045824,2.3988624256,3.5284612000000006,2.63002676695,-0.01535735908213637,-37035.01375266183,-1,,2.7444835704499995,9.285982,2.1406555811,7.179794,-0.010133704962333127,1.0002954597706264,1.5654433675545079,4
001-CA2,5NXP,-8.607972063709,-8.607921489489,-0.03173577821762421,-164.3736129858338,-165.47511625364425,1.1015032678104433,10.351691,3.08635667165,4.128414800000001,3.07721718155,-0.049708865894266485,-40671.60112391105,-1,1.7508620229999998,3.5368824902999996,8.97035,2.4969194883499997,8.374709,-0.04125314824007805,2.351201253644234,1.609327836335865,6
001-CA2,5NXV,-8.133787634924,-8.133818462625,0.019344659826768723,-164.9342762639122,-165.08156164065758,0.1472853767453728,7.671135,2.2871489002499996,2.1233304,1.5826773968999999,-10.46197845827469,-46638.0954795427,-1,1.5385362893999999,1.2100307434499997,6.627914,2.0455731608999996,6.860886,-2.677078245069935,3.506686640657591,0.7066445045247463,6
001-CA2,5NXW,-7.236664717936,-7.226539638338,-6.353578573461186,-130.2416784112907,-126.70292892941424,-3.538749481876465,8.041271,2.3975049486499995,1.7388428000000002,1.29608995205,-11.71553389731914,-39786.331736660446,-1,0.73641350545,-0.4731121719,8.144041,1.2830694433999996,4.303436,-4.525364054966737,-1.6590750705857715,2.1561415325283946,6
001-CA2,5NY1,-9.908349959233,-9.907880446299,-0.29462359170140207,-197.3250626821067,-198.3185473505756,0.9934846684689091,14.362599,4.282208891849999,4.5026104,3.3561332268999995,-1.4845677719820811,-47749.27460848308,-1,,4.190038502699999,12.28862,3.1104307933999995,10.432436,-0.8432147543945411,1.7863173505756151,5.675401132379761,5
001-CA2,5NY3,-8.564945616345,-8.561576837943,-2.113938766259925,-189.39039848540784,-189.11322824884138,-0.27717023656646234,11.679155,3.4821400632499993,2.1050152,1.5690257047,-10.464164480620923,-43236.56873740696,-1,0.56083535565,1.5072883805,4.548202,2.3692453972,7.946488,-6.951143185968272,2.3668372488413922,1.2175317472083975,7
001-CA2,5NY6,-8.332578551023,-8.326034476312,-4.106465777824859,-231.48203762430418,-224.89178113624484,-6.590256488059339,8.572148,2.5557859261999996,1.8462356,1.37613786035,-11.517319330673319,-43627.76115638627,-1,0.03795181164999999,0.48573614104999996,6.473239,0.6710479938999999,2.250706,-10.661105182663382,-10.74306686375516,4.864340502751929,5
001-CA2,5NYA,-4.295685945515,-4.295575452425,-0.06933540841294729,-142.4728860445611,-142.34429121148816,-0.1285948330729525,1.377425,0.41067926374999997,1.1364720000000001,0.847097817,-0.03343216471427728,-19136.781632120772,-1,0.63783438205,1.2302101317499998,2.41442,0.6944825839,2.329306,-0.07713934314258547,0.7774812114881513,0.897158458443414,1
002-HIV-PR,1HSG,-15.407808442809,-15.380750104166,-16.97935102353036,-67.18418721931482,-52.9731664670744,-14.211020752240422,6.73398,2.0077361369999998,,,,,1,,,,,,,,5.15541414872483,14
